Kategorie,Nr.,Name,Geburtsdatum,Nationalität,Größe,Gewicht,Beim VfB seit
Tor,1,Fabian Bredlow,02.03.1995,Deutschland,"1,90m",87kg,01.07.2019
Tor,21,Stefan Drljaca,20.04.1999,Deutschland,"1,93m",89kg,01.07.2024
Tor,33,Alexander Nübel,30.09.1996,Deutschland,"1,93m",86kg,25.07.2023
Tor,44,Florian Hellstern,18.10.2007,Deutschland,"1,88m",79kg,01.07.2025
Abwehr,2,Ameen Al Dakhil,06.03.2002,Belgien,"1,88m",81kg,27.08.2024
Abwehr,3,Ramon Hendriks,18.07.2001,Niederlande,"1,89m",83kg,01.07.2024
Abwehr,4,Josha Vagnoman,11.12.2000,Deutschland,"1,90m",90kg,09.07.2022
Abwehr,7,Maximilian Mittelstädt,18.03.1997,Deutschland,"1,80m",71kg,01.07.2023
Abwehr,14,Luca Jaquez,02.06.2003,Schweiz,"1,87m",80kg,03.02.2025
Abwehr,15,Pascal Stenzel,20.03.1996,Deutschland,"1,83m",78kg,01.07.2020
Abwehr,20,Leonidas Stergiou,03.03.2002,Schweiz,"1,81m",75kg,01.07.2024
Abwehr,22,Lorenz Assignon,22.06.2000,Frankreich,"1,81m",77kg,06.06.2025
Abwehr,23,Dan-Axel Zagadou,03.06.1999,Frankreich,"1,96m",90kg,19.09.2022
Abwehr,24,Jeff Chabot,12.02.1998,Deutschland,"1,95m",95kg,01.07.2024
Abwehr,29,Finn Jeltsch,17.07.2006,Deutschland,"1,87m",86kg,03.02.2025
Mittelfeld,5,Yannik Keitel,15.02.2000,Deutschland,"1,86m",84kg,01.07.2024
Mittelfeld,6,Angelo Stiller,04.04.2001,Deutschland,"1,83m",77kg,25.08.2023
Mittelfeld,10,Chris Führich,09.01.1998,Deutschland,"1,81m",73kg,19.07.2021
Mittelfeld,11,Bilal El Khannouss,10.05.2004,Marokko,"1,80m",70kg,01.09.2025
Mittelfeld,16,Atakan Karazor,13.10.1996,Türkei,"1,91m",76kg,01.07.2019
Mittelfeld,19,Noah Darvich,25.09.2006,Deutschland,"1,84m",73kg,01.07.2025
Mittelfeld,28,Nikolas Nartey,22.02.2000,Dänemark,"1,87m",82kg,29.08.2019
Mittelfeld,30,Chema,25.04.2005,Spanien,"1,90m",82kg,27.07.2025
Mittelfeld,35,Mirza Catovic,01.05.2007,Serbien,"1,90m",88kg,01.07.2025
Mittelfeld,45,Lazar Jovanovic,30.11.2006,Serbien,"1,84m",76kg,08.07.2025
Sturm,8,Tiago Tomás,16.06.2002,Portugal,"1,80m",69kg,16.08.2025
Sturm,9,Ermedin Demirovic,25.03.1998,Bosnien und Herzegowina,"1,85m",84kg,16.07.2024
Sturm,13,Silas,06.10.1998,DR Kongo,"1,89m",82kg,13.08.2019
Sturm,17,Justin Diehl,27.11.2004,Deutschland,"1,74m",67kg,13.09.2024
Sturm,18,Jamie Leweling,26.02.2001,Deutschland,"1,85m",86kg,01.07.2024
Sturm,26,Deniz Undav,19.07.1996,Deutschland,"1,79m",86kg,09.08.2024
Sturm,27,Badredine Bouanani,08.12.2004,Algerien,"1,77m",68kg,31.08.2025
Trainerstab,,Sebastian Hoeneß,12.05.1982,Deutschland,,,03.04.2023
Trainerstab,,David Krecidlo,19.01.1984,Deutschland,,,03.04.2023
Trainerstab,,Malik Fathi,29.10.1983,Deutschland,,,01.07.2023
Trainerstab,,Steffen Krebs,09.05.1983,Deutschland,,,01.07.2021
Trainerstab,,Matthias Schiffers,27.04.1982,Deutschland,,,01.06.2010
Trainerstab,,Dr. André Filipovic,13.05.1982,Deutschland,,,01.07.2024
Trainerstab,,Martin Franz,04.03.1982,Deutschland,,,01.07.2017
Trainerstab,,Jan Schimpchen,11.03.1988,Deutschland,,,01.07.2022
Trainerstab,,Florian Mohr,30.05.1982,Deutschland,,,01.07.2024
Trainerstab,,Nathaniel Weiss,16.07.1987,USA,,,01.07.2025
Trainerstab,,Marcus Fregin,13.03.1986,Deutschland,,,01.07.2014
Trainerstab,,Jasper Smets,06.08.1995,Deutschland,,,01.07.2023
Betreuer,,Günther Schäfer,09.06.1962,Deutschland,,,01.07.1975
Betreuer,,Peter Reichert,04.08.1961,Deutschland,,,01.07.2004
Mannschaftsärzte,,Prof. Dr. med. habil. Raymond Best,10.06.1967,Barbados,,,01.07.2006
Mannschaftsärzte,,Prof. Dr. Dr. Heiko Striegel,21.05.1970,Deutschland,,,01.07.2005
Mannschaftsärzte,,Dr. Mario Bucher,23.01.1980,Deutschland,,,01.01.2015
Therapeuten,,Matthias Hahn,01.06.1976,Deutschland,,,01.09.2006
Therapeuten,,Manuel Roth,01.12.1977,Deutschland,,,01.10.2006
Therapeuten,,Michael Schuhmacher,27.09.1984,Deutschland,,,01.07.2024
Therapeuten,,Gregor Ludwig,14.07.1992,Deutschland,,,01.07.2018
Zeugwarte,,Michael Meusch,26.06.1962,Deutschland,,,01.01.1991
Zeugwarte,,Gordana Markovic-Masala,19.10.1957,Serbien,,,20.02.2004
Zeugwarte,,Thomas Schultheiss,30.04.1971,Deutschland,,,01.04.2015
Ernährungsberaterin,,Nina Fischer,07.08.1989,Deutschland,,,01.09.2022
